,Unnamed: 0,officeName,pincode,stateName,districtName,taluk,lat,lng
409,409,R K Puram Sect7 S.O,110022,DELHI,South West Delhi,,-26.1882158,-48.529205
410,410,R K Puram Sect-8 S.O,110022,DELHI,South West Delhi,,-26.1882158,-48.529205
411,411,R K Puram Sector - 6 Postal SB S.O,110022,DELHI,South West Delhi,,-26.1882158,-48.529205
412,412,R K Puram West S.O,110066,DELHI,South West Delhi,,-26.1882158,-48.529205
413,413,R R Hospital S.O,110010,DELHI,South West Delhi,,-26.1882158,-48.529205
414,414,Rajokari B.O,110038,DELHI,South West Delhi,,28.5169549,77.102812
415,415,Safdarjung Enclave S.O,110029,DELHI,South West Delhi,,28.5821997,77.1871655
416,416,Sanjay Colony Bhati Mines B.O,110074,DELHI,South West Delhi,South West Delhi,28.3534486,77.2973893
417,417,Sarojini Nagar H.O,110023,DELHI,South West Delhi,Delhi,28.6671809,77.4646682
418,418,Satbari B.O,110074,DELHI,South West Delhi,,28.4787481,77.1939062
419,419,Sawan Public School B.O,110074,DELHI,South West Delhi,South West Delhi,0,0
420,420,Shahbad Mohammadpur B.O,110061,DELHI,South West Delhi,,27.9236016,76.8086617
421,421,Signal Enclave S.O,110010,DELHI,South West Delhi,,29.0091861,77.6951896
422,422,South Delhi Campus S.O,110021,DELHI,South West Delhi,,28.5086497,77.2175223
423,423,Station Road S.O (South West Delhi),110010,DELHI,South West Delhi,,28.6628569,77.185494
424,424,Subroto Park S.O,110010,DELHI,South West Delhi,,0,0
425,425,Sultanpur B.O,110030,DELHI,South West Delhi,,28.4964056,77.1643337
426,426,T B Hospital S.O,110030,DELHI,South West Delhi,,28.6288549,77.0977922
427,427,Technology Bhawan S.O,110016,DELHI,South West Delhi,,0,0
428,428,Vasant Kunj Pkt-A S.O,110070,DELHI,South West Delhi,,28.5741387,77.1564549
429,429,Vasant Kunj S.O,110070,DELHI,South West Delhi,,28.5741387,77.1564549
430,430,Vasant Vihar-1 S.O,110057,DELHI,South West Delhi,,28.5741387,77.1564549
